RANK,,NAME,OPPONENT,RECORD,WEIGHTCLASS,
–,,Trevin Giles,,5–2,MW,
–,,Karl Roberson,Brendan Allen - UFC 261,4–3,MW,
2,,Paulo Henrique Costa,Illness,5–1,MW,
–,,Bartosz Fabinski,Gerald Meerschaert - UFC Vegas 24,4–2,MW,
–,,Ian Heinisch,,3–3,MW,
–,,Oskar Piechota,,2–4,MW,
12,,Edmen Shahbazyan,Jack Hermansson - UFC 262,4–1,MW,
–,,Marc-Andre Barriault,,2–3,MW,
–,,Maki Pitolo,Dusko Todorovic,1–4,MW,
–,,Brendan Allen,Karl Roberson - UFC 261,3–1,MW,
–,,Joaquin Buckley,,2–2,MW,
–,,Anthony Hernandez,Punahele Soriano,2–2,MW,
–,,Deron Winn,,2–2,MW,
–,,Makhmud Muradov,,3–0,MW,
–,,Roman Dolidze,,2–1,MW,
–,,Jun Yong Park,Tafon Nchukwi,2–1,MW,
–,,Dalcha Lungiambula,,2–1,MW,
–,,Julian Marquez,Sam Alvey - UFC Vegas 23,2–1,MW,
–,,Rodolfo Vieira,,2–1,MW,
–,,Antonio Braga Neto,Injury,1–2,MW,
–,,Wellington Turman,Bruno Silva,1–2,MW,
–,,Phil Hawes,,2–0,MW,
–,,Andre Muniz,Jacare Souza - UFC 262,2–0,MW,
–,,Punahele Soriano,Anthony Hernandez,2–0,MW,
–,,Abu Azaitar,,1–1,MW,
–,,Kyle Daukaus,Aliaskhab Khizriev - UFC Vegas 23,1–1,MW,
–,,Nassourdine Imavov,,1–1,MW,
–,,Dusko Todorovic,Maki Pitolo,1–1,MW,
–,,Jordan Wright,Jamie Pickett - UFC 262,1–1,MW,
–,,Alen Amedovski,Injury,0–2,MW,
–,,Antonio Arroyo,,0–2,MW,
–,,Dricus du Plessis,Injury,1–0,MW,
–,,Tafon Nchukwi,Jun Yong Park,1–0,MW,
–,,KB Bhullar,Andreas Michailidis,0–1,MW,
–,,Roman Kopylov,Illness,0–1,MW,
–,,Jacob Malkoun,,0–1,MW,
–,,Andreas Michailidis ↓,KB Bhullar,0–1,MW,
–,,Charlie Ontiveros,,0–1,MW,
–,,Jamie Pickett,Jordan Wright - UFC 262,0–1,MW,
–,,Dustin Stoltzfus,,0–1,MW,
–,,Jordan Williams,,0–1,MW,
–,,Rinat Fakhretdinov,,0–0,MW,
–,,Isi Fitikefu,Injury,0–0,MW,
–,,Aliaskhab Khizriev,Kyle Daukaus - UFC Vegas 23,0–0,MW,
–,,Bruno Silva,Wellington Turman,0–0,MW,
,,,,,,
–,,Donald Cerrone*,Diego Sanchez,29–15–1 (1 NC),WW,
8,,Demian Maia,,22–10,WW,
–,,Diego Sanchez,Donald Cerrone,19–13,WW,
–,,Matt Brown,Dhiego Lima,15–12,WW,
–,,Nate Diaz,,15–10,WW,
15,,Robbie Lawler*,Injury,14–11,WW,
9,,Neil Magny,,17–7,WW,
–,,Carlos Condit*,,14–9,WW,
–,,Tim Means,,13–9 (1 NC),WW,
–,,Francisco Trinaldo ↑,Muslim Salikhov,16–6,WW,
4,,Jorge Masvidal*,Kamaru Usman - UFC 261,14–8,WW,
–,,Alex Oliveira,Randy Brown - UFC 261,11–7 (1 NC),WW,
7,,Tyron Woodley*,,11–7–1,WW,
–,,Court McGee,,8–9,WW,
10,,Vicente Luque,,13–3,WW,
2,,Gilbert Burns,,12–4,WW,
5,,Stephen Thompson,,11–4–1,WW,
6,,Michael Chiesa,,11–4,WW,
–,,Jake Matthews,,10–5,WW,
12,,Li Jingliang,,10–4,WW,
–,,James Krause*,,9–5,WW,
–,,Mike Perry,Daniel Rodriguez - UFC Vegas 23,7–7,WW,
C.,,Kamaru Usman,Jorge Masvidal - UFC 261,13–0,WW,
1,,Colby Covington,,11–2,WW,
3,,Leon Edwards,,10–2 (1 NC),WW,
–,,Michel Prazeres,USADA Suspension,10–3,WW,
13,,Belal Muhammad,,9–3 (1 NC),WW,
–,,Alan Jouban,,8–5,WW,
–,,Gunnar Nelson,,8–5,WW,
N/A,,Santiago Ponzinibbio,,9–3,WW,
–,,Warlley Alves,,8–4,WW,
–,,Alex Morono,,7–4 (1 NC),WW,
–,,Niko Price,,6–4–1 (1 NC),WW,
–,,Elizeu Zaleski,Injury,8–3,WW,
–,,Bryan Barberena,Injury,6–5,WW,
–,,Max Griffin,,5–6,WW,
–,,Randy Brown,Alex Oliveira - UFC 261,6–4,WW,
–,,Danny Roberts,Injury,6–4,WW,
–,,Dheigo Lima,Matt Brown,4–6,WW,
–,,Mickey Gall,Injury,5–3,WW,
–,,Abdul Razak Alhassan,,4–3,WW,
–,,Nicolas Dalby,,3–3–1,WW,
–,,Ramazan Emeev,,5–1,WW,
11,,Geoffrey Neal,,5–1,WW,
–,,Claudio Silva,,5–1,WW,
–,,Kenan Song,,4–2,WW,
–,,Lyman Good,,3–3,WW,
–,,Muslim Salikhov,Francisco Trinaldo,4–1,WW,
–,,Michel Pereira,,3–2,WW,
14,,Sean Brady,,4–0,WW,
–,,Daniel Rodriguez,Mike Perry - UFC Vetgas 23,3–1,WW,
–,,Dwight Grant,Stefan Sekulic - UFC 261,2–2,WW,
–,,Takashi Sato,,2–2,WW,
–,,Laureano Staropoli,,2–2,WW,
–,,Emil Weber Meek,,1–3,WW,
–,,David Zawada,,1–3,WW,
–,,Miguel Baeza,,3–0,WW,
–,,Khamzat Chimaev ↓,Illness,3–0,WW,
–,,Khaos Williams,,2–1,WW,
–,,Jason Witt,,1–2,WW,
–,,Matthew Semelsberger,,2–0,WW,
–,,Christian Aguilera,Carlston Harris,1–1,WW,
–,,Gabriel Green,,1–1,WW,
–,,Mike Jackson,,1–1,WW,
–,,Impa Kasanganay ↓,Sasha Palatnikov - UFC Vegas 23,1–1,WW,
–,,Sergey Khandozhko,,1–1,WW,
–,,Mounir Lazzez,,1–1,WW,
–,,Abubakar Nurmagomedov,,1–1,WW,
–,,Jared Gooden,,0–2,WW,
