RANK,,NAME,OPPONENT,RECORD,WEIGHTCLASS,
1,,Brandon Moreno,Deiveson Figueiredo - UFC 263,6–2–2,FLW,
4,,Alex Perez,Matt Schnell - UFC 262,6–2,FLW,
8,,Matt Schnell,Alex Perez - UFC 262,5–3,FLW,
–,,Ryan Benoit,Zarrukh Adashev,3–5,FLW,
7,,Kai Kara-France,,5–2,FLW,
14,,Matheus Nicolau,,4–1,FLW,
–,,Tyson Nam,Tagir Ulanbekov,2–3,FLW,
2,,Askar Askarov,,3–0–1,FLW,
13,,Su Mudaerji,Tim Elliott,3–1,FLW,
9,,Rogerio Bontorin,,2–2,FLW,
12,,Raulian Paiva,David Dvorak,2–2,FLW,
–,,Bruno Silva,,1–3,FLW,
6,,Brandon Royval,,2–1,FLW,
–,,Jerome Rivera ↓,Zhalgas Zhumagulov - UFC 264,0–3,FLW,
15,,Amir Albazi,,2–0,FLW,
11,,David Dvorak,Raulian Paiva,2–0,FLW,
–,,Cody Durden,,0–1–1,FLW,
–,,Zarrukh Adashev,Ryan Benoit,0–2,FLW,
–,,Malcolm Gordon,,0–2,FLW,
–,,Manel Kape,,0–2,FLW,
–,,Zhalgas Zhumagulov,Jerome Rivera - UFC 264,0–2,FLW,
–,,Francisco Figueiredo,Jimmy Flick,1–0,FLW,
–,,Jimmy Flick,Francisco Figueiredo,1–0,FLW,
–,,Tagir Ulanbekov,Tyson Nam,1–0,FLW,
–,,JP Buys,,0–1,FLW,
–,,Victor Rodriguez ↓,Denys Bondar,0–1,FLW,
–,,Denys Bondar,Victor Rodriguez,0–0,FLW,
–,,Jeff Molina,Qileng Aori - UFC 261,0–0,FLW,
–,,Qileng Aori,Jeff Molina - UFC 261,0–0,FLW,
,,,,,,
1,,Jessica Andrade,Valentina Shevchenko - UFC 261,12–6,WFLW,
8,,Jessica Eye,Jennifer Maia - UFC 264,5–8 (1 NC),WFLW,
–,,Cortney Casey,,5–8,WFLW,
2,,Katlyn Chookagian,Viviane Araujo - UFC 262,8–4,WFLW,
6,,Joanne Calderwood,Lauren Murphy - UFC 263,7–5,WFLW,
C.,,Valentina Shevchenko,Jessica Andrade - UFC 261,9–2,WFLW,
3,,Lauren Murphy,Joanne Calderwood - UFC 263,6–4,WFLW,
15,,Gillian Robertson,,6–4,WFLW,
9,,Roxanne Modafferi,Taila Santos,4–6,WFLW,
5,,Cynthia Calvillo,,6–2–1,WFLW,
–,,J.J. Aldrich,,5–3,WFLW,
10,,Alexa Grasso,,5–3,WFLW,
–,,Maryna Moroz,Manon Fiorot,5–3,WFLW,
–,,Montana De La Rosa,Ariane Lipski,4–2–1,WFLW,
–,,Ji Yeon Kim,Injury,3–3,WFLW,
–,,Justine Kish,Tracy Cortez - UFC Vegas 24,3–3,WFLW,
11,,Andrea Lee,Antonina Shevchenko - UFC 262,3–3,WFLW,
4,,Jennifer Maia,Jessica Eye - UFC 264,3–3,WFLW,
–,,Molly McCann,,3–3,WFLW,
–,,Gina Mazany,Priscila Cachoeira - UFC 262,2–4,WFLW,
7,,Viviane Araujo,Katlyn Chookagian - UFC 262,4–1,WFLW,
14,,Maycee Barber,,3–2,WFLW,
–,,Poliana Botelho,Mayra Bueno Silva,3–2,WFLW,
12,,Antonina Shevchenko,Andrea Lee - UFC 262,3–2,WFLW,
–,,Ariane Lipski,Montana De La Rosa,2–3,WFLW,
–,,Mayra Bueno Silva,Poliana Botelho,2–1–1,WFLW,
–,,Priscila Cachoeira,Gina Mazany - UFC 262,1–3,WFLW,
13,,Taila Santos,Roxanne Modafferi,2–1,WFLW,
–,,Liana Jojua,,1–2,WFLW,
–,,Tracy Cortez ↓,Justine Kish - UFC Vegas 24,2–0,WFLW,
–,,Miranda Maverick,,2–0,WFLW,
–,,Mariya Agapova,,1–1,WFLW,
–,,Luana Carolina,,1–1,WFLW,
–,,Lara Procopio,Casey O'Neill,1–1,WFLW,
–,,Diana Belbita,,0–2,WFLW,
–,,Manon Fiorot,Maryna Moroz,1–0,WFLW,
–,,Casey O'Neill,Lara Procopio,1–0,WFLW,
–,,Victoria Leonardo,,0–1,WFLW,
–,,Liliya Shakirova,,0–1,WFLW,
–,,Natalia Silva,Injury,0–0,WFLW,
,,,,,,
12,,Angela Hill,,8–9,WSW,
–,,Randa Markos,Luana Pinheiro,6–8–1,WSW,
2,,Joanna Jedrzejczyk,,10–4,WSW,
9,,Tecia Torres,,8–5,WSW,
4,,Carla Esparza,Yan Xiaonan,8–4,WSW,
7,,Claudia Gadelha,,7–5,WSW,
–,,Karolina Kowalkiewicz,,5–6,WSW,
1,,Rose Namajunas,Weili Zhang - UFC 261,7–3,WSW,
8,,Michelle Waterson,Injury,6–4,WSW,
15,,Felice Herrig,,5–4,WSW,
–,,Ashley Yoder,,3–6,WSW,
5,,Nina Ansaroff,Mackenzie Dern - UFC Vegas 23,4–3,WSW,
–,,Hannah Cifers,,2–5,WSW,
3,,Yan Xiaonan,Carla Esparza,6–0,WSW,
11,,Mackenzie Dern,Nina Ansaroff - UFC Vegas 23,5–1,WSW,
6,,Marina Rodriguez,,3–1–2,WSW,
–,,Polyana Viana,,3–3,WSW,
(N/A),,Tatiana Suarez,,5–0,WSW,
C.,,Weili Zhang,Rose Namajunas - UFC 261,5–0,WSW,
10,,Amanda Ribas,,4–1,WSW,
–,,Livia Renata Souza,,3–2,WSW,
–,,Emily Whitmire,Injury,2–3,WSW,
14,,Amanda Lemos,,3–1,WSW,
13,,Virna Jandiroba,Kanako Murata,2–2,WSW,
–,,Jessica Penne,Hannah Goldy - UFC Vegas 24,1–3,WSW,
–,,Loma Lookboonmee,Sam Hughes,2–1,WSW,
–,,Jinh Yu Frey,,1–2,WSW,
–,,Miranda Granger,,1–2,WSW,
–,,Mallory Martin,,1–2,WSW,
–,,Kay Hansen,Injury,1–1,WSW,
–,,Mizuki Inoue,,1–1,WSW,
–,,Brianna Van Buren,,1–1,WSW,
–,,Montserrat Conejo,,1–0,WSW,
–,,Cory McKenna,,1–0,WSW,
–,,Kanako Murata,Virna Jandiroba,1–0,WSW,
–,,Cheyanne Buys,,0–1,WSW,
–,,Ariane Carnelossi,Na Liang - UFC 261,0–1,WSW,
–,,Gloria de Paula,,0–1,WSW,
–,,Hannah Goldy ↓,Jessica Penne - UFC Vegas 24,0–1,WSW,
–,,Sam Hughes,Loma Lookboonmee,0–1,WSW,
–,,Liang Na,Ariane Carnelossi - UFC 261,0–0,WSW,
–,,Istela Nunes,USADA Suspension,0–0,WSW,
–,,Luana Pinheiro,Randa Markos,0–0,WSW
